name_common,player_ID,G_tot,WAA_tot,WAA_off_tot,WAA_def_tot,WAR_tot,G_best,WAA_best,WAA_off_best,WAA_def_best,WAR_best,WAA_p162,WAA_off_p162,WAA_def_p162,WAR_p162,WAA_med,WAA_off_med,WAA_def_med,WAR_med,WAA_t7,WAA_off_t7,WAA_def_t7,WAR_t7
Alex Bregman,bregmal01,361,7.57,8.26,0.45,12.719999999999999,157,4.61,5.19,0.54,6.88,3.397063711911357,3.7067036011080328,0.20193905817174515,5.708144044321329,3.255,3.8100000000000005,-0.045000000000000005,5.47,2.5233333333333334,2.7533333333333334,0.15000000000000002,4.24
Alex Cintron,cintral01,680,-9.31,-4.38,-2.5900000000000003,-2.22,154,1.22,1.75,0.8,2.71,-2.217970588235294,-1.0434705882352941,-0.6170294117647059,-0.5288823529411765,-1.68,-1.3900000000000001,0.23500000000000001,-0.22,-0.76,-0.4042857142857143,-0.07285714285714287,0.07857142857142857
Alex Cole,coleal01,573,-2.42,-0.13999999999999996,-1.8199999999999998,4.2,126,1.03,1.21,0.34,1.91,-0.6841884816753926,-0.03958115183246072,-0.5145549738219894,1.1874345549738219,-0.87,-0.59,-0.11999999999999997,0.49,-0.34571428571428575,-0.019999999999999993,-0.26,0.6
Alex Cora,coraal01,1273,-5.15,-7.74,6.94,6.97,148,2.09,1.67,1.78,2.98,-0.6553809897879026,-0.9849803613511391,0.883173605655931,0.8869913589945012,-1.24,-1.82,0.74,0.32,0.23714285714285713,-0.1328571428571429,0.72,1.1942857142857142
Alex Gonzalez,gonzaal01,1396,-7.2700000000000005,-7.76,8.09,11.21,158,0.71,0.27,2.22,2.22,-0.8436532951289399,-0.900515759312321,0.9388108882521491,1.300873925501433,-0.68,-0.87,0.94,1.15,-0.004285714285714294,-0.4742857142857143,1.12,1.6085714285714285
Alex Gonzalez,gonzaal02,1609,-10.27,-12.64,10.35,9.23,159,2.95,0.41,3.77,5.11,-1.0340211311373524,-1.2726413921690491,1.0420758234928527,0.9293101305158484,-0.81,-1.1,0.92,0.96,0.09571428571428574,-0.47000000000000003,1.29,1.832857142857143
Alex Gordon,gordoal01,1553,12.97,0.5299999999999998,8.91,35.18,161,4.98,3.05,2.44,7.26,1.352955569864778,0.055286542176432696,0.929439793947199,3.6697746297488734,0.75,0.08,1,2.79,2.515714285714286,0.9828571428571428,1.15,4.62
Alex Grammas,grammal01,913,-1.76,-5.28,7.78,7.17,142,0.38,-0.21,1.77,2.06,-0.312289156626506,-0.9368674698795182,1.3804600219058052,1.2722234392113911,0.01,-0.59,1.35,1.6,-0.031428571428571424,-0.5714285714285714,1.0785714285714285,1.1228571428571428
Alex Johnson,johnsal01,1322,-7.68,-4.07,-10.57,9.93,158,1.42,1.66,-0.03,3.72,-0.9411195158850226,-0.4987443267776097,-1.2952647503782149,1.216838124054463,0.135,0.125,-1.0050000000000001,2.1350000000000002,0.19714285714285712,0.31857142857142856,-0.8314285714285714,1.9314285714285715
Alex Kampouris,kampoal01,708,-1.1199999999999999,-0.6099999999999999,1.64,7.1899999999999995,148,0.9,1.27,1.15,2.66,-0.2562711864406779,-0.13957627118644064,0.37525423728813556,1.6451694915254236,-0.71,-1.16,0.06,0.63,0.2857142857142857,0.17857142857142858,0.3342857142857143,1.1942857142857142
Alex McKinnon,mckinal01,386,3.06,4.32,-0.93,8.89,122,1.54,2.26,0.12,3.42,1.2842487046632125,1.813056994818653,-0.39031088082901555,3.731036269430052,1.54,2.26,-0.55,3.42,0.765,1.08,-0.2325,2.2225
